Model,Target_Level,Display_Category,Actual_ND,Pitch_Entropy
REMI+ (Ours),10,L10,46,3.787164065167291
REMI+ (Ours),10,L10,75,3.450103650577107
REMI+ (Ours),10,L10,49,4.084225793917433
REMI+ (Ours),10,L10,52,3.942745671674598
REMI+ (Ours),10,L10,53,3.4623757594316245
REMI+ (Ours),10,L10,71,3.7273502056731247
REMI+ (Ours),10,L10,58,4.246188866586812
REMI+ (Ours),10,L10,46,4.067176772150687
REMI+ (Ours),1,L1,20,3.4841837197791885
REMI+ (Ours),1,L1,22,3.322179345516667
REMI+ (Ours),1,L1,22,3.2089873002587996
REMI+ (Ours),1,L1,16,3.25
REMI+ (Ours),1,L1,16,2.7272170014624826
REMI+ (Ours),1,L1,21,3.4632805178108104
REMI+ (Ours),1,L1,25,3.703465189601647
REMI+ (Ours),1,L1,22,3.7887549139935026
REMI+ (Ours),1,L1,20,3.621928094887362
REMI+ (Ours),1,L1,8,2.75
REMI+ (Ours),1,L1,24,3.501629167387823
REMI+ (Ours),1,L1,19,3.7216117239699007
REMI+ (Ours),1,L1,20,3.5219280948873624
REMI+ (Ours),1,L1,22,3.663532754804254
REMI+ (Ours),1,L1,6,2.2516291673878226
REMI+ (Ours),1,L1,23,3.621175542919471
REMI+ (Ours),1,L1,23,3.6211755429194716
REMI+ (Ours),1,L1,21,3.1182751607709758
REMI+ (Ours),1,L1,23,3.6753108689123644
REMI+ (Ours),1,L1,22,3.295357051617442
REMI+ (Ours),1,L1,21,3.5585186130489053
REMI+ (Ours),1,L1,8,2.5
REMI+ (Ours),1,L1,21,3.3087513512471665
REMI+ (Ours),1,L1,15,3.2402239289418517
REMI+ (Ours),1,L1,22,3.606936732175321
REMI+ (Ours),1,L1,25,3.703465189601647
REMI+ (Ours),1,L1,21,3.4039894464852614
REMI+ (Ours),1,L1,22,3.4474015047059154
REMI+ (Ours),1,L1,4,2.0
REMI+ (Ours),1,L1,22,3.5383105956150063
REMI+ (Ours),2,L2,26,3.5804621997271013
REMI+ (Ours),2,L2,26,3.4556501805795428
REMI+ (Ours),2,L2,26,3.700439718141092
REMI+ (Ours),2,L2,22,3.572623663895164
REMI+ (Ours),2,L2,24,3.3868421881310113
REMI+ (Ours),2,L2,27,3.7821222241453056
REMI+ (Ours),2,L2,25,3.4634651896016466
REMI+ (Ours),2,L2,25,3.863465189601647
REMI+ (Ours),2,L2,26,3.1903964516472447
REMI+ (Ours),2,L2,24,3.8035088547976783
REMI+ (Ours),2,L2,27,4.014146761422728
REMI+ (Ours),2,L2,24,3.1572682296173893
REMI+ (Ours),2,L2,28,3.8248629576173565
REMI+ (Ours),2,L2,27,3.717850465126432
REMI+ (Ours),2,L2,27,3.782122224145305
REMI+ (Ours),2,L2,27,3.5137847242254336
REMI+ (Ours),2,L2,27,3.394552096489374
REMI+ (Ours),2,L2,27,3.810081020521731
